sample	lib	fwd	rev
T4	1	testdata/input/T4_R1_001.fastq.gz	testdata/input/T4_R2_001.fastq.gz
T6	1	testdata/input/T6_R1_001.fastq.gz	testdata/input/T6_R2_001.fastq.gz
